height,heartrate,haircolor,hoursleep,hoursports,choice,age
167,76,3,8,1,0,48
162,99,3,7,5,0,68
173,68,3,9,4,0,16
165,89,3,10,5,0,77
168,69,2,6,3,0,23
171,88,3,5,1,1,27
172,100,2,7,3,0,68
164,64,1,8,3,0,56
171,99,1,4,2,1,58
163,84,3,7,1,1,80
158,80,3,9,5,0,63
170,93,1,4,2,0,80
175,61,2,6,5,1,26
151,83,2,4,4,1,8
178,64,3,9,2,1,80
176,73,2,4,1,0,38
164,84,2,7,1,0,57
185,76,1,10,3,0,13
169,82,2,9,4,0,9
173,89,2,10,1,0,57
160,63,2,5,5,0,61
173,61,3,9,2,1,54
177,83,3,10,4,1,70
191,72,2,9,2,0,32
176,63,2,9,2,0,5
174,78,1,6,5,1,16
170,93,3,10,4,0,32
170,92,1,9,5,1,30
159,87,3,6,1,0,26
155,96,3,10,1,1,38
170,68,3,6,5,1,57
158,84,1,4,1,1,65
179,85,3,10,3,0,49
162,94,2,5,4,0,31
183,83,2,4,3,1,50
178,88,3,5,1,1,58
177,96,1,5,5,1,7
176,97,1,6,2,1,76
174,89,2,4,3,0,37
168,77,2,8,4,1,32
161,70,2,7,4,0,28
165,100,2,7,4,1,18
181,96,3,4,2,0,49
171,92,2,9,1,1,69
172,76,3,5,4,0,35
175,98,1,9,3,0,44
169,68,2,9,2,0,27
166,95,1,4,4,0,65
179,100,2,5,5,0,49
175,74,2,5,1,1,63
158,99,1,10,4,1,35
168,78,1,4,3,0,25
166,61,2,9,5,0,53
160,100,1,8,4,0,30
177,74,1,8,3,0,23
165,78,1,9,4,1,25
164,75,3,4,5,0,7
185,96,1,9,4,1,68
172,75,3,7,2,1,61
181,75,2,5,4,1,8
173,67,1,4,4,1,72
169,71,1,9,3,1,15
155,67,1,8,2,1,69
163,89,3,4,5,1,77
158,82,3,7,5,1,25
155,100,1,10,2,0,52
170,66,3,7,1,0,9
165,65,3,10,1,1,31
153,99,1,5,1,0,31
162,66,1,9,4,0,78
163,94,3,9,1,1,7
171,74,3,6,4,1,5
177,96,2,7,2,1,76
181,61,3,8,2,0,35
169,69,1,6,2,0,42
171,84,2,5,2,1,32
172,87,1,10,4,0,8
166,60,1,9,5,1,53
170,97,2,9,5,1,49
171,61,1,7,4,1,14
155,93,3,7,1,1,12
181,95,1,8,5,0,71
168,99,1,4,2,1,61
158,67,3,7,3,0,61
187,84,3,10,2,1,31
175,87,1,10,5,0,28
171,72,3,9,1,0,50
179,63,1,4,2,0,37
171,92,3,5,4,0,68
161,91,2,7,3,0,68
170,79,1,6,5,1,59
157,85,1,8,4,1,54
163,66,1,5,2,1,15
170,71,1,4,4,0,80
181,66,2,8,3,0,46
164,64,1,6,3,1,80
162,92,1,8,5,1,76
167,68,3,7,1,1,23
175,87,2,8,1,0,25
188,77,2,9,3,1,35
